No of cycles(log-scaled),fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Al,H,Mo
2.931457871,1.87205,-1.8906,-0.635106,1.8304,-0.627444,0.612181,-2.07758,1.29614,-0.82876,-0.45803,-0.00337099,-0.279634
2.931457871,-0.125039,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.933993164,-0.360631,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.937016107,-0.163528,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.941014244,0.757053,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.957128198,0.751689,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.963315511,0.0954249,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.976349979,1.66135,-1.8906,-0.635106,2.06614,-0.627444,0.612181,-2.07758,1.29614,-0.82876,-0.45803,-0.00337099,-0.279634
2.984077034,0.7164,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.98811284,-0.0510259,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.993876915,-0.0754461,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.994317153,-0.116476,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
3,-1.0387,-1.8906,-0.635106,1.59466,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
3,-0.681105,-1.8906,-0.635106,1.12318,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
3,-0.539948,-1.8906,-0.635106,0.415965,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
3,-1.0387,-1.8906,-0.635106,-0.880598,-0.627444,0.612181,-0.647596,0.325755,1.34742,5.4914,-1.16765,-0.388233
3,-0.681105,-1.8906,-0.635106,-0.880598,0.1543,1.00005,-0.647596,0.325755,1.34742,5.4914,-1.16765,-0.388233
3,-0.539948,-1.8906,-0.635106,-0.880598,0.837099,1.00005,-0.647596,0.325755,1.34742,5.4914,-1.16765,-0.388233
3.086359831,-1.26992,0.661034,1.65978,1.35892,1.65646,-0.208465,-1.67866,0.325755,1.34742,-0.45803,-0.00337099,-0.279634
3.152288344,-0.362278,0.661034,1.65978,0.887442,1.65646,-0.208465,-1.67866,0.325755,1.34742,-0.45803,-0.00337099,-0.279634
3.16879202,-0.721523,0.661034,1.65978,1.12318,1.65646,-0.208465,-1.67866,0.325755,1.34742,-0.45803,-0.00337099,-0.279634
3.195346058,-0.195806,0.661034,1.65978,0.651703,1.65646,-0.208465,-1.67866,0.325755,1.34742,-0.45803,-0.00337099,-0.279634
4,-1.481,-1.8906,-0.635106,1.59466,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
4,-1.50923,-1.8906,-0.635106,1.12318,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
4,-1.481,-1.8906,-0.635106,0.415965,-1.24544,3.41708,-0.671301,0.325755,1.34742,-0.0814838,-0.00337099,2.99605
4,-1.481,-1.8906,-0.635106,-0.880598,-1.2113,1.00005,-0.647596,0.325755,1.34742,5.4914,-1.16765,-0.388233
4,-1.50923,-1.8906,-0.635106,-0.880598,0.4957,1.00005,-0.647596,0.325755,1.34742,5.4914,-1.16765,-0.388233
4.445977629,-1.00723,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
4.639167624,-1.2005,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
4.721150844,-1.33543,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
4.774049574,-1.47846,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
4.790080991,-1.62361,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
4.999513318,-1.75997,0.290874,-1.0916,1.12318,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5,-0.187054,-1.8906,-0.635106,-0.880598,-0.627444,0.612181,-0.647596,-0.928914,-0.614455,-0.45803,0.276653,-0.192282
5,-1.24573,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,-0.928914,-0.384843,0.426853,-0.00337099,-0.388233
5,-0.224696,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,1.29614,-0.384843,0.426853,-0.00337099,-0.388233
5,0.683416,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.10525,-0.384843,0.426853,-0.00337099,-0.388233
5,1.10689,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.71209,-0.384843,0.426853,-0.00337099,-0.388233
5,-0.0694234,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.46138,0.426853,0.336832,-0.388233
5,0.636363,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,2.10525,-0.46138,0.426853,0.336832,-0.388233
5,-0.0223709,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.46138,0.426853,0.336832,-0.388233
5,-0.158823,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.15523,0.483335,0.336832,-0.388233
5,0.0482078,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,0.325755,1.34742,0.426853,0.336832,-0.388233
5.051789021,-1.19361,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.16208923,-0.77513,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.368078522,-0.536042,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.462397998,0.071734,-1.8906,-0.635106,1.14675,-1.2113,3.41708,-0.647596,1.29614,1.34742,0.295062,2.68383,2.99605
5.507274175,-1.33852,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.591818956,-0.816569,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.655510116,-1.47779,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.68286319,-1.61871,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.695485179,-0.774377,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
