SL.No,No of cycles,fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr
109,10000,400,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
110,10000,394,0,0,450,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
111,10000,400,0,0,300,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
112,10000,400,0,0,25,600,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
113,10000,394,0,0,25,850,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
114,27924,500.689,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
115,43568,459.614,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
116,52620,430.938,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
117,59436,400.54,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
118,61671,369.69,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
119,99888,340.71,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
120,100000,675,0,0,25,0,0,0,-1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72
121,100000,450,932,0,25,704,2,0,-1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0
122,100000,667,932,0,25,704,2,0,0.1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0
123,100000,860,932,0,25,704,2,0,0.5,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0
124,100000,950,932,0,25,704,2,0,0.8,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0
125,100000,700,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
126,100000,850,925,1,25,700,2,0,0.5,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
127,100000,710,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
128,100000,681,0,0,25,700,2,0,0.1,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0
129,100000,725,0,0,25,700,2,0,0,0,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
130,100000,740,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
131,100000,1100,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
132,100000,740,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
133,100000,650,1050,0.25,25,500,24,0,-1,80,89.41,6.4,4,0,0,0.19,0,0,0,0,0,0,0
134,100000,306.28,0,0,25,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0
135,100000,227.24,0,0,400,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0
136,112665,461.077,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
137,145241,550.017,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
138,233388,600.83,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
139,290000,730,0,0,455,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8
140,321569,430.28,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
141,390678,541.21,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
142,452387,400.681,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
143,481796,370.731,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
144,496004,550.177,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
145,505165,500.71,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0
